Transaction_ID,Date,Amount,Employee_ID,Vendor_ID,Category
50759,2023-01-01,3245.21,1049,2063,Services
50937,2023-01-02,1752.58,1036,2039,Services
50508,2023-01-02,1953.32,1000,2031,Travel
50025,2023-01-03,3111.09,1019,2006,Supplies
50858,2023-01-04,2101.53,1043,2036,Meals
50066,2023-01-04,2059.98,1043,2060,Supplies
50415,2023-01-04,4052.37,1020,2094,Meals
50298,2023-01-05,3649.6,1014,2090,Supplies
50068,2023-01-05,3199.68,1015,2059,Travel
50038,2023-01-06,1093.42,1001,2072,Services
50804,2023-01-06,1862.82,1016,2045,Supplies
50414,2023-01-06,3743.83,1047,2049,Meals
50429,2023-01-07,1117.14,1003,2097,Software
50524,2023-01-07,2617.01,1029,2041,Travel
50188,2023-01-08,603.84,1038,2006,Supplies
50301,2023-01-09,1011.09,1042,2063,Meals
50245,2023-01-09,137.16,1003,2042,Meals
50683,2023-01-10,4001.03,1024,2095,Travel
50587,2023-01-11,1922.87,1010,2012,Meals
50445,2023-01-11,2206.15,1019,2024,Software
50840,2023-01-11,55.38,1035,2081,Software
50776,2023-01-12,4339.3,1043,2079,Supplies
50353,2023-01-12,4028.8,1048,2034,Meals
50894,2023-01-12,117.91,1009,2090,Meals
50603,2023-01-12,1216.15,1045,2040,Services
50305,2023-01-13,2402.79,1011,2098,Services
50055,2023-01-13,2774.73,1022,2062,Software
50335,2023-01-13,943.64,1038,2027,Travel
50868,2023-01-13,3532.18,1028,2092,Software
50021,2023-01-13,2860.12,1026,2065,Travel
50480,2023-01-13,2987.3,1018,2046,Travel
50169,2023-01-14,1127.73,1033,2099,Supplies
50112,2023-01-14,2894.66,1025,2063,Services
50091,2023-01-15,1248.06,1014,2086,Meals
50422,2023-01-15,700.47,1005,2066,Services
50364,2023-01-16,325.19,1011,2039,Software
50217,2023-01-16,3069.29,1004,2029,Services
50744,2023-01-16,2642.92,1042,2035,Meals
50647,2023-01-16,3060.65,1025,2042,Services
50760,2023-01-17,1983.86,1005,2010,Services
50565,2023-01-17,752.82,1007,2010,Meals
50132,2023-01-17,3546.86,1020,2041,Software
50854,2023-01-17,52.76,1039,2056,Supplies
50399,2023-01-18,383.67,1006,2092,Travel
50706,2023-01-18,1777.94,1005,2035,Software
50195,2023-01-19,4046.78,1030,2048,Travel
50327,2023-01-19,4061.89,1018,2013,Supplies
50655,2023-01-19,2460.16,1007,2051,Meals
50539,2023-01-19,3827.26,1035,2089,Software
50809,2023-01-20,289.87,1049,2094,Meals
50477,2023-01-20,3614.92,1020,2022,Meals
50622,2023-01-20,4105.26,1022,2070,Software
50318,2023-01-20,4178.02,1001,2086,Supplies
50611,2023-01-21,3639.7,1036,2012,Services
50482,2023-01-22,3619.96,1044,2032,Travel
50088,2023-01-22,3337.61,1016,2044,Travel
50660,2023-01-22,4241.03,1029,2012,Software
50022,2023-01-23,1017.21,1001,2055,Supplies
50005,2023-01-23,325.36,1016,2083,Services
50047,2023-01-23,1788.88,1002,2076,Supplies
50351,2023-01-23,739.06,1035,2080,Supplies
50145,2023-01-23,2775.2,1042,2012,Software
50876,2023-01-24,2084.87,1034,2017,Meals
50286,2023-01-24,2363.75,1013,2085,Services
50114,2023-01-24,2384.79,1031,2071,Supplies
50246,2023-01-24,1011.2,1001,2018,Supplies
50727,2023-01-24,2048.07,1044,2024,Meals
50122,2023-01-24,4371.64,1049,2080,Travel
50475,2023-01-25,3382.17,1018,2095,Travel
50761,2023-01-25,752.83,1001,2019,Software
50379,2023-01-25,657.23,1030,2009,Supplies
50724,2023-01-26,206.45,1035,2070,Travel
50574,2023-01-26,2626.15,1046,2091,Meals
50405,2023-01-26,910.48,1015,2091,Software
50553,2023-01-26,3215.73,1021,2084,Travel
50123,2023-01-27,454.75,1043,2038,Travel
50733,2023-01-27,1569.5,1045,2036,Travel
50499,2023-01-27,3403.86,1002,2092,Supplies
50923,2023-01-27,2717.47,1024,2039,Meals
50716,2023-01-29,1555.95,1016,2011,Services
50438,2023-01-29,2208.89,1036,2024,Software
50075,2023-01-30,2405.47,1026,2004,Supplies
50014,2023-01-31,1302.41,1032,2065,Services
50257,2023-01-31,1355.44,1042,2025,Meals
50281,2023-01-31,253.85,1043,2019,Travel
50680,2023-01-31,2808.3,1037,2041,Meals
50329,2023-01-31,962.55,1003,2023,Software
50807,2023-01-31,2932.18,1036,2084,Meals
50982,2023-02-01,3351.55,1002,2047,Supplies
50602,2023-02-01,3672.47,1011,2061,Software
50141,2023-02-02,1068.36,1039,2076,Software
50978,2023-02-02,2378.48,1001,2051,Services
50844,2023-02-03,1260.32,1044,2032,Supplies
50060,2023-02-03,3521.29,1049,2090,Meals
50893,2023-02-04,2433.88,1018,2002,Supplies
50030,2023-02-05,3565.08,1012,2013,Meals
50006,2023-02-05,2403.12,1044,2069,Travel
50341,2023-02-06,3596.67,1024,2087,Services
50576,2023-02-06,1274.28,1002,2063,Services
50483,2023-02-06,2044.32,1003,2037,Software
50450,2023-02-07,3502.82,1016,2014,Services
50585,2023-02-07,2834.82,1034,2073,Travel
50492,2023-02-08,739.29,1029,2028,Services
50586,2023-02-08,3331.63,1009,2094,Travel
50296,2023-02-08,3740.44,1028,2024,Supplies
50914,2023-02-08,1411.17,1019,2024,Software
50537,2023-02-09,1176.49,1036,2011,Meals
50194,2023-02-09,2210.77,1020,2092,Supplies
50855,2023-02-09,671.98,1019,2031,Software
50090,2023-02-09,1639.88,1038,2091,Travel
50961,2023-02-09,3644.69,1011,2001,Meals
50361,2023-02-10,3576.78,1001,2040,Travel
50063,2023-02-10,627.36,1022,2008,Software
50549,2023-02-10,3835.72,1039,2046,Supplies
50028,2023-02-11,421.57,1020,2062,Services
50269,2023-02-11,3789.58,1014,2071,Travel
50907,2023-02-11,4277.6,1002,2004,Supplies
50521,2023-02-12,1726.73,1015,2027,Software
50340,2023-02-12,2403.54,1004,2042,Travel
50943,2023-02-12,4474.86,1047,2075,Software
50460,2023-02-12,1157.0,1031,2027,Software
50363,2023-02-12,2648.56,1003,2063,Supplies
50160,2023-02-12,1701.36,1016,2012,Software
50443,2023-02-12,3541.62,1004,2068,Supplies
50251,2023-02-13,859.06,1047,2077,Software
50838,2023-02-13,184.32,1022,2055,Services
50032,2023-02-13,4114.4,1020,2066,Supplies
50566,2023-02-14,1204.38,1023,2022,Services
50604,2023-02-14,1028.12,1012,2087,Software
50993,2023-02-16,4493.29,1042,2083,Travel
50360,2023-02-16,4121.38,1044,2073,Travel
50552,2023-02-16,2312.29,1007,2017,Software
50890,2023-02-17,3061.88,1021,2080,Meals
50617,2023-02-18,2602.19,1047,2051,Services
50441,2023-02-18,1438.55,1047,2013,Meals
50004,2023-02-19,3406.31,1034,2032,Services
50386,2023-02-19,3147.19,1000,2045,Travel
50973,2023-02-19,2320.71,1001,2083,Software
50916,2023-02-19,4212.77,1042,2056,Supplies
50751,2023-02-20,4385.91,1008,2044,Travel
50036,2023-02-20,3297.33,1017,2047,Software
50148,2023-02-20,1004.06,1009,2059,Travel
50835,2023-02-21,1724.87,1013,2075,Software
50955,2023-02-21,3679.58,1004,2065,Services
50084,2023-02-21,2764.27,1033,2015,Services
50037,2023-02-22,1592.96,1045,2031,Services
50437,2023-02-22,2882.53,1045,2040,Supplies
50140,2023-02-22,1563.23,1030,2014,Travel
50239,2023-02-23,2953.75,1023,2050,Services
50977,2023-02-23,2304.47,1003,2031,Supplies
50975,2023-02-23,3513.8,1002,2012,Software
50626,2023-02-24,2528.53,1044,2063,Travel
50373,2023-02-24,4126.5,1003,2067,Software
50171,2023-02-25,4455.56,1035,2031,Software
50307,2023-02-25,686.32,1016,2042,Meals
50218,2023-02-25,1946.55,1043,2090,Services
50925,2023-02-26,3158.27,1049,2017,Travel
50578,2023-02-26,1711.13,1006,2013,Supplies
50570,2023-02-26,67.6,1002,2097,Services
50700,2023-02-27,3727.56,1019,2031,Travel
50579,2023-02-27,1497.61,1031,2049,Meals
50966,2023-02-27,1735.36,1024,2052,Meals
50662,2023-02-27,3683.22,1000,2011,Supplies
50268,2023-02-27,1485.35,1020,2098,Travel
50158,2023-02-28,1076.09,1019,2026,Meals
50147,2023-02-28,654.5,1036,2024,Software
50619,2023-02-28,2284.64,1021,2068,Supplies
50820,2023-03-01,4191.66,1009,2075,Supplies
50387,2023-03-01,849.71,1007,2094,Services
50071,2023-03-01,3809.52,1015,2063,Services
50684,2023-03-01,1077.73,1039,2054,Software
50849,2023-03-02,1397.14,1004,2025,Software
50780,2023-03-03,2247.5,1043,2023,Services
50085,2023-03-03,2731.62,1011,2077,Supplies
50067,2023-03-03,1201.67,1048,2048,Meals
50109,2023-03-03,2713.78,1034,2071,Meals
50205,2023-03-03,496.75,1007,2038,Travel
50880,2023-03-05,3795.29,1042,2003,Supplies
50675,2023-03-06,3418.91,1023,2023,Services
50723,2023-03-06,2370.62,1027,2021,Travel
50290,2023-03-07,671.29,1003,2038,Meals
50996,2023-03-07,1990.77,1014,2092,Travel
50628,2023-03-07,3078.97,1047,2024,Services
50941,2023-03-07,2010.19,1044,2080,Supplies
50104,2023-03-08,139.55,1023,2059,Travel
50407,2023-03-08,337.05,1000,2095,Travel
50691,2023-03-09,3745.69,1028,2068,Supplies
50979,2023-03-09,2891.96,1010,2085,Supplies
50653,2023-03-09,3264.67,1046,2063,Supplies
50403,2023-03-11,1588.58,1024,2083,Travel
50167,2023-03-11,800.21,1013,2049,Software
50183,2023-03-13,2735.54,1004,2003,Supplies
50317,2023-03-13,2483.35,1023,2088,Software
50736,2023-03-13,2373.92,1008,2076,Supplies
50297,2023-03-15,2851.37,1016,2012,Services
50936,2023-03-16,4336.96,1047,2060,Software
50204,2023-03-16,3360.98,1033,2049,Supplies
50457,2023-03-16,2002.87,1035,2039,Services
50677,2023-03-16,390.95,1037,2036,Software
50186,2023-03-16,1961.36,1001,2057,Travel
50434,2023-03-17,3449.15,1022,2056,Travel
50561,2023-03-17,4397.98,1048,2099,Software
50159,2023-03-17,2110.63,1015,2026,Travel
50912,2023-03-17,4311.95,1010,2015,Travel
50870,2023-03-18,1500.32,1001,2004,Travel
50921,2023-03-18,1672.63,1046,2009,Meals
50179,2023-03-18,4298.91,1021,2060,Meals
50102,2023-03-18,3336.97,1040,2012,Software
50392,2023-03-19,2067.0,1037,2022,Travel
50095,2023-03-19,516.61,1049,2078,Supplies
50325,2023-03-20,703.51,1040,2096,Meals
50287,2023-03-21,1856.26,1016,2046,Services
50910,2023-03-21,4246.7,1044,2014,Supplies
50676,2023-03-22,1998.83,1009,2033,Services
50608,2023-03-22,2666.67,1011,2077,Travel
50550,2023-03-23,2734.17,1012,2025,Travel
50073,2023-03-23,3372.6,1046,2064,Software
50435,2023-03-23,4414.59,1047,2089,Software
50765,2023-03-23,3832.77,1014,2057,Meals
50702,2023-03-24,3743.83,1019,2017,Services
50595,2023-03-24,1953.65,1039,2089,Travel
50196,2023-03-24,2144.09,1046,2045,Services
50827,2023-03-24,1118.0,1026,2048,Software
50041,2023-03-25,323.27,1023,2065,Software
50685,2023-03-25,4112.42,1024,2050,Meals
50502,2023-03-25,2549.19,1012,2041,Travel
50129,2023-03-26,4313.39,1017,2043,Meals
50345,2023-03-26,3675.04,1021,2080,Services
50376,2023-03-26,3734.56,1041,2069,Services
50821,2023-03-26,516.64,1000,2052,Meals
50272,2023-03-26,1438.25,1006,2087,Travel
50643,2023-03-26,1471.46,1044,2054,Travel
50640,2023-03-26,2815.95,1041,2089,Meals
50847,2023-03-27,2236.21,1022,2095,Services
50729,2023-03-27,538.49,1027,2095,Services
50256,2023-03-27,1521.71,1046,2018,Supplies
50500,2023-03-28,2684.51,1027,2015,Services
50348,2023-03-29,1233.24,1000,2072,Supplies
50584,2023-03-29,392.75,1018,2037,Meals
50089,2023-03-30,2106.61,1027,2017,Travel
50926,2023-03-30,768.96,1043,2076,Services
50888,2023-03-30,1520.3,1017,2000,Services
50213,2023-03-30,891.88,1007,2043,Meals
50517,2023-03-30,1522.16,1021,2035,Services
50454,2023-03-31,970.57,1013,2052,Travel
50664,2023-03-31,1074.22,1040,2013,Meals
50238,2023-04-01,1471.54,1045,2088,Services
50696,2023-04-01,1466.16,1045,2063,Supplies
50497,2023-04-01,3802.77,1014,2043,Software
50872,2023-04-01,3584.24,1008,2064,Supplies
50174,2023-04-01,2799.24,1030,2055,Software
50778,2023-04-01,3054.87,1038,2099,Services
50616,2023-04-02,4127.51,1031,2056,Software
50839,2023-04-02,320.63,1048,2057,Services
50316,2023-04-02,706.15,1018,2014,Supplies
50050,2023-04-02,2155.25,1029,2080,Supplies
50971,2023-04-03,3443.13,1012,2082,Software
50589,2023-04-03,4352.22,1048,2005,Supplies
50597,2023-04-03,2026.54,1043,2006,Supplies
50069,2023-04-04,4151.4,1034,2087,Services
50738,2023-04-04,4495.63,1035,2003,Meals
50504,2023-04-04,396.16,1038,2095,Travel
50283,2023-04-05,3879.48,1038,2078,Services
50396,2023-04-05,708.07,1043,2031,Supplies
50303,2023-04-05,1577.99,1035,2055,Supplies
50990,2023-04-05,3523.94,1003,2089,Supplies
50468,2023-04-06,529.08,1007,2011,Meals
50369,2023-04-06,3469.67,1027,2020,Supplies
50054,2023-04-06,3214.81,1040,2066,Software
50694,2023-04-06,162.35,1032,2026,Travel
50278,2023-04-07,1802.39,1047,2061,Software
50018,2023-04-07,1532.17,1023,2005,Services
50237,2023-04-07,1805.5,1047,2025,Meals
50506,2023-04-08,3071.4,1011,2012,Supplies
50142,2023-04-09,1803.62,1049,2063,Supplies
50185,2023-04-09,1385.71,1034,2055,Supplies
50728,2023-04-09,4489.37,1044,2029,Travel
50080,2023-04-10,361.51,1017,2035,Software
50545,2023-04-10,998.4,1006,2047,Travel
50747,2023-04-10,3692.98,1018,2016,Travel
50902,2023-04-11,3053.45,1034,2073,Services
50770,2023-04-11,3132.24,1004,2025,Services
50165,2023-04-11,1657.76,1020,2043,Services
50452,2023-04-11,202.02,1040,2099,Supplies
50155,2023-04-11,933.79,1038,2022,Meals
50707,2023-04-12,554.61,1040,2089,Supplies
50027,2023-04-13,407.63,1027,2021,Travel
50661,2023-04-13,1040.81,1003,2002,Meals
50334,2023-04-13,901.59,1041,2064,Services
50250,2023-04-15,235.46,1042,2035,Services
50029,2023-04-15,3307.22,1011,2080,Services
50430,2023-04-16,3467.45,1030,2021,Software
50170,2023-04-17,962.33,1022,2056,Software
50098,2023-04-17,1143.18,1001,2059,Supplies
50625,2023-04-17,2450.95,1045,2014,Supplies
50621,2023-04-17,2621.82,1049,2099,Services
50965,2023-04-18,2264.88,1003,2093,Software
50610,2023-04-18,3203.51,1040,2047,Services
50862,2023-04-18,3680.5,1013,2094,Software
50772,2023-04-19,2855.85,1002,2040,Supplies
50703,2023-04-20,266.3,1047,2056,Software
50302,2023-04-20,2353.04,1048,2021,Meals
50201,2023-04-21,881.46,1005,2074,Services
50911,2023-04-21,758.0,1042,2005,Travel
50252,2023-04-21,3782.53,1003,2019,Software
50267,2023-04-21,2385.56,1028,2067,Software
50116,2023-04-22,641.34,1037,2071,Services
50974,2023-04-22,586.34,1010,2018,Meals
50711,2023-04-23,2367.3,1028,2082,Software
50087,2023-04-24,526.1,1018,2069,Meals
50698,2023-04-24,405.79,1000,2057,Supplies
50479,2023-04-25,2729.14,1020,2025,Software
50322,2023-04-25,3878.19,1029,2080,Software
50822,2023-04-25,174.52,1009,2014,Software
50984,2023-04-26,2963.06,1031,2093,Services
50985,2023-04-26,1312.04,1042,2074,Software
50176,2023-04-26,2658.85,1031,2072,Software
50755,2023-04-27,744.29,1039,2048,Services
50300,2023-04-28,2096.22,1016,2044,Travel
50546,2023-04-29,1620.37,1005,2030,Software
50453,2023-04-29,3709.45,1016,2017,Services
50163,2023-04-29,1598.97,1047,2014,Supplies
50161,2023-04-30,878.45,1030,2008,Travel
50428,2023-04-30,2149.06,1037,2002,Supplies
50885,2023-04-30,760.09,1016,2076,Meals
50015,2023-05-01,2432.95,1035,2053,Software
50458,2023-05-01,1602.76,1043,2073,Software
50043,2023-05-01,3336.82,1005,2085,Services
50365,2023-05-01,176.74,1036,2073,Travel
50637,2023-05-01,2197.41,1042,2089,Software
50818,2023-05-02,3770.6,1047,2054,Supplies
50152,2023-05-02,841.63,1043,2008,Services
50151,2023-05-02,3343.42,1002,2086,Meals
50612,2023-05-02,2005.94,1031,2013,Services
50896,2023-05-02,1744.02,1046,2084,Services
50920,2023-05-02,2899.22,1000,2079,Supplies
50359,2023-05-03,1462.19,1048,2081,Software
50058,2023-05-03,138.93,1020,2015,Services
50845,2023-05-03,1261.7,1025,2075,Services
50093,2023-05-03,2290.22,1033,2090,Services
50230,2023-05-04,3665.8,1016,2091,Meals
50311,2023-05-04,589.14,1039,2022,Software
50045,2023-05-04,152.67,1046,2042,Travel
50119,2023-05-04,3656.65,1021,2062,Services
50980,2023-05-05,1669.3,1016,2066,Software
50470,2023-05-05,3692.54,1028,2084,Supplies
50995,2023-05-05,1539.4,1036,2031,Travel
50358,2023-05-06,2494.54,1035,2003,Supplies
50425,2023-05-06,3134.39,1045,2043,Services
50000,2023-05-06,3106.72,1044,2036,Services
50994,2023-05-06,180.89,1001,2056,Services
50905,2023-05-06,3350.36,1002,2088,Meals
50717,2023-05-06,3274.43,1035,2012,Travel
50867,2023-05-06,3612.2,1005,2031,Services
50270,2023-05-06,2922.99,1000,2092,Meals
50918,2023-05-07,1088.98,1030,2078,Services
50294,2023-05-07,619.72,1038,2062,Supplies
50446,2023-05-08,148.02,1031,2088,Supplies
50789,2023-05-09,3197.99,1001,2024,Supplies
50115,2023-05-09,2895.78,1031,2058,Services
50924,2023-05-10,514.65,1010,2085,Supplies
50427,2023-05-10,1620.36,1004,2033,Meals
50904,2023-05-11,4396.86,1036,2021,Software
50719,2023-05-11,1247.53,1045,2078,Software
50981,2023-05-11,986.11,1016,2003,Travel
50259,2023-05-11,231.38,1043,2088,Supplies
50944,2023-05-11,1926.44,1011,2007,Supplies
50881,2023-05-11,1330.48,1036,2051,Travel
50787,2023-05-12,564.58,1015,2009,Services
50473,2023-05-13,3565.36,1038,2065,Services
50231,2023-05-13,2469.7,1005,2095,Travel
50766,2023-05-14,4286.61,1026,2097,Services
50848,2023-05-14,3483.97,1015,2011,Travel
50401,2023-05-14,2679.75,1049,2017,Travel
50782,2023-05-15,1191.64,1049,2067,Meals
50149,2023-05-15,4104.86,1025,2098,Travel
50946,2023-05-16,3886.73,1002,2014,Services
50099,2023-05-16,3488.6,1005,2075,Software
50864,2023-05-16,3468.51,1042,2066,Meals
50451,2023-05-17,3020.67,1019,2087,Meals
50986,2023-05-17,737.72,1040,2050,Travel
50606,2023-05-17,4274.31,1034,2030,Travel
50915,2023-05-17,1349.51,1009,2022,Software
50697,2023-05-18,4367.98,1007,2007,Supplies
50053,2023-05-18,3978.12,1033,2048,Supplies
50535,2023-05-18,3357.74,1033,2008,Meals
50469,2023-05-19,1671.72,1045,2015,Software
50189,2023-05-19,1445.68,1043,2058,Travel
50968,2023-05-20,4244.93,1016,2092,Services
50895,2023-05-20,597.9,1040,2085,Services
50752,2023-05-20,4203.85,1019,2040,Meals
50277,2023-05-21,3257.2,1034,2072,Travel
50059,2023-05-21,2349.5,1041,2036,Travel
50485,2023-05-21,3780.34,1001,2021,Meals
50613,2023-05-21,1506.24,1036,2003,Meals
50498,2023-05-21,646.74,1045,2009,Software
50650,2023-05-21,2267.86,1038,2062,Supplies
50541,2023-05-22,341.23,1029,2038,Services
50836,2023-05-22,4470.49,1023,2011,Services
50631,2023-05-23,4268.65,1032,2042,Software
50594,2023-05-23,4015.05,1029,2091,Meals
50010,2023-05-23,3623.05,1005,2090,Travel
50083,2023-05-23,1195.74,1014,2085,Services
50634,2023-05-25,3250.45,1023,2061,Services
50599,2023-05-25,429.88,1021,2057,Supplies
50326,2023-05-26,2965.93,1006,2036,Supplies
50215,2023-05-26,3217.37,1008,2086,Services
50241,2023-05-27,3893.95,1013,2061,Travel
