Vendor_ID,Vendor_Name,Vendor_Address,Tax_ID
2000,"King, Jones and Dougherty","42203 Amy Path, West Johnberg, ND 93713",73-6439596
2001,Mata Ltd,"85969 Amanda Drives Apt. 749, North Rachel, IL 61624",44-3575294
2002,Brown LLC,"PSC 8735, Box 0598, APO AP 53357",33-4352058
2003,Lee LLC,"9410 Blair Terrace, New Elizabeth, LA 11296",81-0120649
2004,"Garcia, Robles and Mitchell","256 Jennifer Expressway, Paulburgh, TN 06283",57-9170785
2005,Jackson-Austin,"1520 Eric Flats, North Jessica, MH 26567",60-8729762
2006,Barnett-Chavez,"4505 Doyle Glen Apt. 833, Shannonland, PW 39773",22-1340817
2007,"Hobbs, Williams and Hunt","300 Anthony Tunnel, New Timothyfurt, ND 14279",27-6118288
2008,"Miller, Mack and Watts","63754 Daniel Vista, Gloriamouth, PA 22198",02-5172732
2009,Hunt-Wallace,"27454 Jeffery Locks, Jensenport, ND 82355",27-5566979
2010,Ochoa Ltd,"01264 Oneill Key, Turnerville, MI 76713",84-0516118
2011,Hernandez-Gomez,"189 Edwards Road Apt. 221, West Vickie, IL 82481",76-0565021
2012,Walker Ltd,"9516 Melanie Dale Suite 907, East Brett, ID 69269",80-1108800
2013,Brown Inc,"2287 Laurie Avenue Suite 359, North Mariafurt, AL 87186",71-5034706
2014,"Logan, Bradley and Rodriguez","574 Hart Isle Suite 302, Marvinhaven, TN 51787",76-2855895
2015,Perry and Sons,"945 Thomas Mountains Suite 203, Port James, PR 75150",21-9459272
2016,Harper-Sanders,"2602 Schmidt Land, Port Curtistown, ID 07786",74-9679342
2017,"Brock, Vargas and Price","46731 Michael Mount, Andrewbury, AK 42223",23-8215875
2018,"Larson, Mitchell and Swanson","135 Contreras Well Suite 303, Port Courtney, MA 23471",35-0880388
2019,Hughes-Campbell,"74355 Khan View Apt. 395, Maryville, CT 57298",51-3267663
2020,"Hicks, Russell and Kelly","160 Daniel Motorway Suite 593, Port Mark, PR 45282",98-2212217
2021,Cole-Tyler,"90000 Bell Haven Suite 394, Lake Ginastad, MT 12092",67-0690440
